year,candidate,state,candidate_votes,total_votes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Gary Johnson/Jill Stein,Minnesota,149957,2944813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Gary Johnson/Jill Stein,Mississippi,18166,1209357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Gary Johnson/Jill Stein,Missouri,122778,2808605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Gary Johnson/Jill Stein,Montana,36007,497147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Gary Johnson/Jill Stein,Nebraska,47721,844227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Gary Johnson/Jill Stein,Nebraska's 1st congressional district,17407,282338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Gary Johnson/Jill Stein,Nebraska's 2nd congressional district,16592,291680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Gary Johnson/Jill Stein,Nebraska's 3rd congressional district,13722,270109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Gary Johnson/Jill Stein,Nevada,37384,1125385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Gary Johnson/Jill Stein,New Hampshire,37273,744296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Gary Johnson/Jill Stein,New Jersey,110249,3874046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Gary Johnson/Jill Stein,New Mexico,84420,798319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Gary Johnson/Jill Stein,New York,284532,7721453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Gary Johnson/Jill Stein,North Carolina,142231,4741564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Gary Johnson/Jill Stein,North Dakota,25214,344360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Gary Johnson/Jill Stein,Ohio,220769,5496487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Gary Johnson/Jill Stein,Oklahoma,83481,1452992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Gary Johnson/Jill Stein,Oregon,144233,2001336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Gary Johnson/Jill Stein,Pennsylvania,196656,6165478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Gary Johnson/Jill Stein,Rhode Island,20966,464144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Gary Johnson/Jill Stein,South Carolina,62238,2103027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Gary Johnson/Jill Stein,South Dakota,20850,370093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Gary Johnson/Jill Stein,Tennessee,86390,2508027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Gary Johnson/Jill Stein,Texas,355050,8969226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Gary Johnson/Jill Stein,Utah,49046,1131430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Gary Johnson/Jill Stein,Vermont,16836,315067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Gary Johnson/Jill Stein,Virginia,145912,3984631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Gary Johnson/Jill Stein,Washington,219296,3317019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Gary Johnson/Jill Stein,West Virginia,31079,714423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Gary Johnson/Jill Stein,Wisconsin,137746,2976150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Gary Johnson/Jill Stein,Wyoming,15802,255849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
